image_id,pred_box,pred_score,gt_box,iou,breed
n02106382_4243,"Box(x_min=150, y_min=0, x_max=450, y_max=300)",1.0000,"Box(x_min=76, y_min=16, x_max=482, y_max=335)",0.6343,Bouvier_des_Flandres
n02104365_10247,"Box(x_min=100, y_min=0, x_max=400, y_max=300)",1.0000,"Box(x_min=7, y_min=12, x_max=251, y_max=349)",0.3378,schipperke
n02109961_3715,"Box(x_min=280, y_min=40, x_max=400, y_max=160)",1.0000,"Box(x_min=305, y_min=10, x_max=481, y_max=137)",0.3346,Eskimo_dog
n02105505_4031,"Box(x_min=160, y_min=64, x_max=256, y_max=160)",1.0000,"Box(x_min=0, y_min=57, x_max=283, y_max=245)",0.1732,komondor
n02102318_6612,"Box(x_min=224, y_min=64, x_max=416, y_max=256)",1.0000,"Box(x_min=171, y_min=37, x_max=453, y_max=332)",0.4431,cocker_spaniel
n02113624_1879,"Box(x_min=64, y_min=32, x_max=224, y_max=192)",1.0000,"Box(x_min=14, y_min=0, x_max=499, y_max=377)",0.1400,toy_poodle
n02108089_1353,"Box(x_min=160, y_min=32, x_max=320, y_max=192)",1.0000,"Box(x_min=131, y_min=57, x_max=405, y_max=234)",0.4114,boxer
n02106382_748,"Box(x_min=80, y_min=0, x_max=280, y_max=200)",1.0000,"Box(x_min=10, y_min=1, x_max=294, y_max=336)",0.4175,Bouvier_des_Flandres
n02111500_287,"Box(x_min=192, y_min=128, x_max=320, y_max=256)",1.0000,"Box(x_min=0, y_min=0, x_max=479, y_max=278)",0.1230,Great_Pyrenees
n02116738_2770,"Box(x_min=0, y_min=0, x_max=390, y_max=390)",1.0000,"Box(x_min=152, y_min=22, x_max=361, y_max=390)",0.5057,African_hunting_dog
n02107683_2521,"Box(x_min=234, y_min=78, x_max=468, y_max=312)",1.0000,"Box(x_min=1, y_min=110, x_max=429, y_max=265)",0.3326,Bernese_mountain_dog
n02094258_1291,"Box(x_min=160, y_min=160, x_max=256, y_max=256)",1.0000,"Box(x_min=146, y_min=54, x_max=346, y_max=307)",0.1821,Norwich_terrier
n02105505_3933,"Box(x_min=120, y_min=40, x_max=240, y_max=160)",1.0000,"Box(x_min=0, y_min=41, x_max=412, y_max=347)",0.1132,komondor
n02110063_12449,"Box(x_min=200, y_min=40, x_max=360, y_max=200)",1.0000,"Box(x_min=175, y_min=146, x_max=366, y_max=295)",0.1902,malamute
n02105162_175,"Box(x_min=96, y_min=32, x_max=192, y_max=128)",1.0000,"Box(x_min=21, y_min=21, x_max=156, y_max=181)",0.2299,malinois
n02101006_1963,"Box(x_min=0, y_min=0, x_max=375, y_max=375)",1.0000,"Box(x_min=1, y_min=1, x_max=339, y_max=374)",0.8965,Gordon_setter
n02100735_9861,"Box(x_min=0, y_min=78, x_max=390, y_max=468)",1.0000,"Box(x_min=0, y_min=86, x_max=335, y_max=498)",0.7892,English_setter
n02091635_4068,,0.0000,"Box(x_min=22, y_min=3, x_max=137, y_max=114)",0.0000,otterhound
n02113023_231,"Box(x_min=160, y_min=80, x_max=280, y_max=200)",1.0000,"Box(x_min=97, y_min=98, x_max=239, y_max=211)",0.3599,Pembroke
n02091134_16541,"Box(x_min=0, y_min=50, x_max=300, y_max=350)",1.0000,"Box(x_min=17, y_min=50, x_max=428, y_max=490)",0.4566,whippet
n02109525_9522,"Box(x_min=80, y_min=0, x_max=240, y_max=160)",1.0000,"Box(x_min=141, y_min=25, x_max=238, y_max=228)",0.4067,Saint_Bernard
n02106662_7212,"Box(x_min=120, y_min=160, x_max=240, y_max=280)",1.0000,"Box(x_min=38, y_min=63, x_max=373, y_max=498)",0.0988,German_shepherd
n02085936_3451,"Box(x_min=160, y_min=160, x_max=352, y_max=352)",1.0000,"Box(x_min=35, y_min=35, x_max=436, y_max=498)",0.1986,Maltese_dog
n02110806_4196,"Box(x_min=128, y_min=160, x_max=224, y_max=256)",1.0000,"Box(x_min=80, y_min=172, x_max=212, y_max=452)",0.1804,basenji
n02085936_296,"Box(x_min=150, y_min=50, x_max=450, y_max=350)",1.0000,"Box(x_min=167, y_min=156, x_max=407, y_max=366)",0.4962,Maltese_dog
n02105056_5515,"Box(x_min=50, y_min=150, x_max=250, y_max=350)",1.0000,"Box(x_min=0, y_min=16, x_max=331, y_max=498)",0.2507,groenendael
n02108089_1031,"Box(x_min=192, y_min=0, x_max=384, y_max=192)",1.0000,"Box(x_min=95, y_min=28, x_max=347, y_max=315)",0.3035,boxer
n02116738_4758,"Box(x_min=78, y_min=234, x_max=312, y_max=468)",0.9998,"Box(x_min=145, y_min=317, x_max=260, y_max=481)",0.3087,African_hunting_dog
n02099601_10,"Box(x_min=96, y_min=128, x_max=224, y_max=256)",1.0000,"Box(x_min=24, y_min=7, x_max=499, y_max=329)",0.1071,golden_retriever
n02093991_3968,"Box(x_min=192, y_min=64, x_max=288, y_max=160)",1.0000,"Box(x_min=0, y_min=0, x_max=401, y_max=332)",0.0692,Irish_terrier
n02088094_3051,"Box(x_min=120, y_min=0, x_max=320, y_max=200)",0.9999,"Box(x_min=39, y_min=61, x_max=477, y_max=260)",0.2798,Afghan_hound
n02107908_3155,"Box(x_min=62, y_min=0, x_max=375, y_max=312)",1.0000,"Box(x_min=136, y_min=15, x_max=496, y_max=335)",0.5003,Appenzeller
n02108915_7883,"Box(x_min=0, y_min=224, x_max=96, y_max=320)",1.0000,"Box(x_min=222, y_min=5, x_max=483, y_max=374)",0.0000,French_bulldog
n02093647_1306,"Box(x_min=96, y_min=160, x_max=192, y_max=256)",0.9844,"Box(x_min=20, y_min=1, x_max=348, y_max=451)",0.0624,Bedlington_terrier
n02086079_6620,"Box(x_min=100, y_min=50, x_max=300, y_max=250)",1.0000,"Box(x_min=0, y_min=90, x_max=261, y_max=374)",0.2915,Pekinese
n02110185_7888,"Box(x_min=192, y_min=160, x_max=384, y_max=352)",1.0000,"Box(x_min=1, y_min=0, x_max=432, y_max=373)",0.2293,Siberian_husky
n02105251_3746,"Box(x_min=64, y_min=128, x_max=256, y_max=320)",1.0000,"Box(x_min=2, y_min=128, x_max=371, y_max=486)",0.2791,briard
n02091244_2709,"Box(x_min=560, y_min=80, x_max=720, y_max=240)",1.0000,"Box(x_min=0, y_min=50, x_max=661, y_max=529)",0.0496,Ibizan_hound
n02100735_10211,"Box(x_min=200, y_min=120, x_max=440, y_max=360)",1.0000,"Box(x_min=179, y_min=84, x_max=360, y_max=374)",0.5356,English_setter
n02098105_2842,"Box(x_min=240, y_min=120, x_max=480, y_max=360)",1.0000,"Box(x_min=246, y_min=197, x_max=402, y_max=329)",0.3575,soft-coated_wheaten_terrier
n02108089_1757,"Box(x_min=50, y_min=100, x_max=300, y_max=350)",1.0000,"Box(x_min=20, y_min=75, x_max=373, y_max=495)",0.4216,boxer
